word,frequency,length
வசம்,3352,3
பாகிஸ்தானில்,3352,6
ஏற்பாடுகளை,3352,6
பாதிப்பை,3351,4
சிறுத்தைகள்,3351,6
முன்வைத்து,3349,5
என்பர்,3347,4
தேவதை,3346,3
ந,3344,1
கண்டறிந்து,3338,6
இன்ஸ்பெக்டர்,3337,7
மேற்கொண்டார்,3336,6
மை,3336,1
மாவு,3336,2
செய்தாலும்,3335,5
நேரிடும்,3335,4
புராணம்,3333,4
விடயம்,3333,4
எப்படிப்,3332,5
போவதாக,3330,4
நிறுத்தம்,3330,5
உள்ளோம்,3330,4
ரூ.,3330,1
என்பதன்,3328,5
இதேபோல,3328,4
நயன்தாரா,3328,5
செய்வோம்,3327,4
பேரணி,3327,3
காய்கறி,3326,4
சுற்றுலாப்,3325,5
நுழைவுத்,3325,4
காவலர்கள்,3324,6
கொண்டிருந்தேன்,3323,7
எழும்,3323,3
ஆவி,3321,2
நாயகி,3321,3
வரியை,3321,3
என்னவென்று,3320,6
ஆனந்த,3320,4
செல்லாது,3319,4
மோசமாக,3317,4
மனுக்கள்,3317,5
அதிர்ஷ்ட,3316,5
பருவமழை,3315,5
பத்திரிகையாளர்,3314,8
பதிப்பகம்,3313,6
இடமாற்றம்,3313,6
தட்டி,3312,3
விரைவு,3312,3
முதலான,3311,4
பின்பற்றி,3310,5
சிகிச்சைக்காக,3310,7
ஒத்த,3309,3
மகனும்,3309,4
கோபுரம்,3307,4
போனேன்,3307,3
செய்வார்,3307,4
ஆடலரசன்,3307,6
விட்டாள்,3306,4
தமிழீழ,3306,4
வைட்டமின்,3305,5
முயற்சிகளை,3305,6
உயிருக்கு,3303,5
வுக்கு,3303,3
அரசியல்வாதி,3301,7
வாழ்வை,3301,3
ஆட்டத்தின்,3301,6
இழப்பீடு,3301,5
நிதியமைச்சர்,3298,7
ஆதலால்,3297,4
ரேஷன்,3297,3
தவம்,3296,3
அறிஞர்கள்,3296,6
சொல்லுங்கள்,3295,6
கல்யாண,3295,4
உயரமான,3294,5
பருவத்தில்,3294,6
செய்ததாக,3294,5
வல,3294,2
வாசன்,3293,3
எதிரில்,3291,4
கன்னட,3288,4
ஆதாரங்கள்,3288,6
எப்,3287,2
யாருமே,3287,3
நிலக்கரி,3286,5
செய்தான்,3285,4
கட்டிய,3285,4
விட்டுச்,3284,4
காணவில்லை,3283,5
காடு,3282,2
பெண்ணும்,3282,4
நினைத்த,3282,4
ஈடு,3282,2
தார்,3278,2
கொள்கிறது,3278,5
கேட்பது,3275,4
அதிகாரியாக,3275,6
செய்வதை,3275,4
அதேநேரம்,3275,5
பூனை,3274,2
கடினம்,3274,4
நாடுகளும்,3273,5
ஓபன்,3271,3
தண்ணீரில்,3270,5
வாக்காளர்கள்,3269,7
அதிர்ச்சியை,3269,6
அடைந்தது,3268,5
திறப்பு,3268,4
விழாவை,3268,3
டிடிவி,3268,3
பள்ளியின்,3267,5
மாசு,3267,2
டூ,3267,1
எதிர்க்கட்சிகள்,3267,9
எம்.ஜி.ஆர்,3266,5
அமைதியான,3264,5
கூறியிருந்தார்,3264,7
அஸ்வின்,3264,4
ஈர்ப்பு,3263,4
கொண்டவர்கள்,3263,7
படுத்த,3262,4
தலைவர்களும்,3262,7
நிருவாகியால்,3261,6
எதிரி,3261,3
ஏற்படுத்திய,3261,7
கந,3261,2
இளவரசர்,3260,6
வேண்டியதில்லை,3260,7
குமரி,3260,3
எலி,3260,2
குறைந்துள்ளது,3259,7
இத்,3258,2
அரசுத்,3258,4
எழுப்பி,3256,4
உணவில்,3256,4
ராம,3256,2
ஆட்டத்தை,3256,5
பதினைந்து,3255,5
குடும்பத்தின்,3255,7
எம,3253,2
இங்கிலாந்தில்,3251,7
ஆணையத்தின்,3250,6
பாராட்டி,3247,4
உருவாக்கினார்,3244,7
வார்டு,3244,3
ராதா,3243,2
புன்னகை,3242,4
நிறை,3242,2
செய்யும்போது,3241,6
அவனைப்,3240,4
புகைப்படங்கள்,3237,8
தற்காலிகமாக,3236,7
வளர்த்து,3235,5
தொழிலை,3235,3
ஒருவரும்,3234,5
வழக்குகளில்,3233,7
குறிப்பிடுகிறார்,3232,8
தொகுத்து,3231,4
கொண்டுள்ளன,3230,6
விதிகளை,3230,4
பாண்டிய,3226,4
இயலாத,3226,4
எலும்பு,3226,4
அதையே,3226,3
இயல்பாக,3224,5
போலவும்,3223,4
பலருக்கும்,3223,6
தே,3222,1
அதிகாரிகளிடம்,3222,8
ரோஹித்,3222,3
சகோதரர்கள்,3221,7
எப்படியும்,3220,6
பிடித்தது,3220,5
வெளிவரும்,3219,5
கிடைக்காமல்,3219,6
மயக்கம்,3218,5
ஒதுக்கி,3218,4
புரிதல்,3215,4
சித்த,3214,3
பயன்படுத்திய,3214,8
வருவார்,3212,4
கோவா,3211,2
அதிருப்தி,3210,5
ஐஸ்வர்யா,3210,5
°,3209,0
பாதுகாக்கும்,3209,6
துரோகம்,3208,4
ஆந்திரா,3208,4
பார்வதி,3207,4
தினத்தை,3207,4
சென்னையின்,3206,5
குற்றவியல்,3206,6
யை,3206,1
தேச,3205,2
வைக்கப்பட்டுள்ளது,3204,10
விவாகரத்து,3204,6
அழிந்து,3203,4
டும்,3203,2
முற்போக்கு,3201,5
கணிசமான,3200,5
ஹோட்டல்,3200,4
சம்பந்தமான,3199,7
கூறியிருக்கிறார்,3199,8
மேற்,3198,2
எழுத்துக்கள்,3194,7
நடவடிக்கைகளில்,3194,9
இருக்கேன்,3193,5
பண்டிகை,3192,4
ஹைதராபாத்,3192,5
பஸ்கள்,3191,4
பகுதியின்,3190,5
மான,3190,2
விதித்து,3189,4
சுப்பிரமணியன்,3188,8
இசையும்,3187,4
சிறிசேன,3187,4
மோடிக்கு,3187,4
டில்லி,3186,3
பெற்றுள்ள,3186,5
ஸ்மார்ட்போன்,3186,6
வாய்ப்பில்லை,3185,6
சமீபத்திய,3185,6
காப்பீடு,3184,4
கொண்டுவந்து,3183,6
பாயும்,3182,3
நியமிக்கப்பட்டார்,3181,10
சர்கார்,3181,4
ஆட்சிக்,3180,4
தணிக்கை,3180,4
கதாபாத்திரத்தில்,3180,9
பருவம்,3179,4
கொண்டாட,3178,4
இயக்குநராக,3177,7
விற்க,3177,3
மீனவர்,3174,4
தொடங்கினர்,3173,6
பூமியின்,3172,4
மொழியை,3171,3
பாலிவுட்,3171,4
நூலின்,3168,3
இப்படியே,3168,5
நோயாளிகள்,3168,5
கவனத்தில்,3168,6
சேதம்,3166,3
அப்ப,3166,3
உயர்த்த,3166,5
சுமந்து,3165,4
தேவைப்படுகிறது,3162,8
மேலான,3159,3
போகிறேன்,3158,4
கழிவு,3158,3
என்பதற்கான,3158,7
தில்லி,3157,3
அறுவடை,3156,4
......,3154,0
இவரும்,3153,4
கடலை,3153,3
பிரிவுகளில்,3153,6
குறி,3152,2
வெளியேற,3152,4
சிறிலங்கா,3151,5
இழப்புக்கு,3151,6
உறவை,3150,3
இந்நூல்,3149,4
இறைவனின்,3149,5
கண்காணிப்பாளர்,3149,8
தேசத்தின்,3148,5
ஒப்பந்த,3147,5
பிற்காலத்தில்,3146,7
சரிந்து,3146,4
அழகிரி,3145,4
பழங்குடி,3144,5
வாழ்த்துகள்,3143,6
அன்புமணி,3143,5
பெற்றுள்ளன,3142,6
தாங்க,3142,3
பழனி,3142,3
தெரிவிக்கிறது,3142,7
ஆட்சியின்,3141,5
ஐ.நா,3141,2
வழங்குவது,3140,6
அள்ளி,3139,3
மக்கள்தொகை,3138,6
தடையை,3138,3
தூள்,3137,2
செல்கிறார்,3137,5
பாஜகவின்,3137,5
கைதிகள்,3135,4
பெற்றவர்கள்,3134,7
அழிக்க,3134,4
சிக்கல்கள்,3134,6
அசோக்,3134,3
பேரிடர்,3133,4
அமைந்து,3132,4
ஜோசப்,3132,3
கற்று,3130,3
மோடியை,3129,3
மகிழ்ச்சியாக,3127,7
இடங்களுக்கு,3126,7
பாத்திரம்,3125,5
டவுன்,3125,3
வெளியிடும்,3125,5
இருக்கவில்லை,3123,7
நடிக்கிறார்,3123,6
கண்டார்,3122,4
என்பார்,3122,4
அத்தை,3121,3
நிலங்கள்,3121,5
மரத்தின்,3120,5
ஓட,3120,2
மாப்பிள்ளை,3119,5
என்றது,3116,4
இல்லம்,3116,4
தொகுதிகள்,3115,5
கிடைக்காது,3115,5
தெலங்கானா,3114,5
விடுதி,3113,3
நிமிர்ந்து,3110,5
புரிய,3109,3
கொள்கையை,3109,4
மாமி,3108,2
கால்வாய்,3108,4
பார்த்தது,3108,5
சிட்டி,3108,3
விடுத்து,3108,4
யாரை,3107,2
அதிகாரிகளின்,3107,7
யாத்திரை,3106,4
பெப்ரவரி,3105,5
வெளியிடப்படும்,3104,8
மன்மோகன்,3104,5
வழிகளில்,3103,5
தொலைக்காட்சியில்,3103,8
பொறியாளர்,3103,5
தொழிற்சாலை,3102,5
தெரிவித்திருந்தார்,3102,9
பார்க்காமல்,3101,6
மூலமே,3101,3
ராமர்,3100,3
விரதம்,3100,4
வெளியேறினார்,3100,6
வைத்திருக்க,3099,6
ஈடுபடும்,3098,5
முன்னேற்றக்,3097,6
கதிர்,3097,3
ஆண்களின்,3097,5
மட்டுமல்லாது,3095,7
என்னடா,3094,4
பங்குகளை,3094,5
அண்டை,3093,3
வாகனங்களை,3093,6
மகிந்த,3093,4
கிண்டல்,3093,4
மி,3092,1
ஐந்தாம்,3090,4
கூறியுள்ளனர்,3090,7
தொகுதிக்கு,3088,5
இதற்குக்,3088,5
சாலைகளில்,3087,5
தினேஷ்,3086,3
நோக்கிச்,3085,4
பேசுகிறார்,3085,5
மறுப்பு,3085,4
பாபா,3083,2
பாதிக்கப்படும்,3083,8
கொண்டிருந்தார்கள்,3082,9
வும்,3082,2
வாரிய,3080,3
கண்டேன்,3079,4
மன்னார்,3079,4
தருமபுரி,3078,5
போட்டிக்கு,3078,5
திருச்சியில்,3078,6
பல்கலை,3078,4
கதைகளை,3077,4
கக,3077,2
மருத்துவமனைகளில்,3076,10
வலியுறுத்தியுள்ளார்,3076,10
தானாகவே,3075,4
கி.மீ,3075,2
படுக்கை,3074,4
பெறுவதற்கு,3074,6
நவ�ன,3073,3
சிவபெருமான்,3073,6
சகோதரி,3072,4
பெறவில்லை,3071,5
சீனாவில்,3071,4
கணம்,3067,3
பொதுப்,3067,3
அம்சம்,3067,4
தண்டனையை,3066,5
பயிற்சியாளர்,3065,7
அகதிகள்,3064,5
வரித்துறை,3063,5
புத்தர்,3062,4
வேறுபாடுகள்,3062,6
அந்தஸ்து,3062,5
முதல்முறையாக,3062,7
என்பவரால்,3060,6
கேட்ச்,3060,3
சுமை,3058,2
மீட்பு,3058,3
தலைமைப்,3057,4
சமாதானம்,3056,5
உற்பத்தியில்,3056,7
சார்பு,3056,3
கொண்டிருக்கின்றன,3056,9
மற,3056,2
போன்றவற்றில்,3054,7
கிடைத்து,3053,4
ஸ்டெர்லைட்,3053,5
அவ்வாறே,3052,4
ரசிகர்,3052,4
மேரி,3049,2
கோழி,3048,2
வகைகளில்,3047,5
கலவரம்,3047,5
ஜ,3046,1
அனைத்துத்,3045,5
ஏற்படவில்லை,3043,7
நான்தான்,3042,4
இருக்கையில்,3042,6
தாக்குதலை,3041,5
கொள்,3040,2
ஆப்பிரிக்கா,3040,6
மாற்றாக,3039,4
ஒட்டு,3039,3
எடுப்பது,3039,5
பார்க்,3038,3
மாறுபட்ட,3033,5
அதுபோல,3033,4
இருள்,3032,3
பார்த்தாலும்,3032,6
முயன்று,3032,4
வெளியுறவு,3031,5
சிக்கலான,3030,5
வனத்துறை,3030,5
கொண்டிருக்கிறார்,3029,8
புரிந்தது,3029,5
தற்பொழுது,3028,5
கோயிலின்,3026,4
பிராந்திய,3026,5
அச்சு,3026,3
இத்தாலி,3026,4
தேர்ந்தெடுக்கப்பட்ட,3025,11
வெளியீடு,3025,4
படித்தேன்,3024,5
வியாபார,3024,4
பிச்சை,3023,3
தொடர்பாளர்,3023,6
கழுத்தில்,3022,5
அதிகாரத்தை,3022,6
விளையாடிய,3022,5
யாழ்ப்பாண,3021,5
நாய்கள்,3021,4
முழுவதுமாக,3020,6
நெரிசல்,3020,4
தீர்க்க,3020,4
வேண்டாமா,3017,4
திரைப்படத்தின்,3017,8
தண்ணி,3017,3
கற்கள்,3016,4
பேரு,3016,2
ஸ்மித்,3016,3
வாபஸ்,3016,3
என்னையும்,3015,5
ஐந்தாவது,3015,5
ஆரம்பித்தேன்,3014,7
எதிர்க்கட்சி,3014,7
குடும்பத்தைச்,3013,7
அதனுடன்,3013,5
பேசுகையில்,3013,5
பற்றிச்,3012,4
பயன்படுத்தப்படுகின்றன,3012,14
மாஸ்டர்,3012,4
குடிக்க,3012,4
பேரவைத்,3010,4
இப்படியான,3009,6
இதற்குப்,3008,5
நீங்களே,3008,4
உத்தரவிட்டுள்ளார்,3006,10
வெங்காயம்,3004,5
நெடுஞ்சாலையில்,3003,7
உயர்ந்தது,3003,6
இயக்கப்படும்,3003,8
தூதர்,3002,3
ரிலையன்ஸ்,3002,5
ஆர்ப்பாட்டத்தில்,3001,9
வீசிய,3001,3
கப்,3000,2
தொழிலாளர்களின்,2998,8
நிதியை,2998,3
இளவரசி,2997,5
தென்கிழக்கு,2997,6
ஆறாம்,2997,3
வாக்குப்பதிவு,2997,7
திரைப்படங்கள்,2996,8
நம,2995,2
வில்லன்,2994,4
அடிமை,2992,3
மரங்களை,2992,5
பைக்,2992,2
சக்தியை,2991,4
ஊடகங்களில்,2991,7
நாடுகளிலும்,2990,6
நுழைய,2990,3
தன்னைப்,2988,4
மேட்டூர்,2988,4
ஏற்றுக்கொள்ள,2988,7
மேம்படுத்த,2988,6
வேலைக்குச்,2988,5
பாரதியார்,2987,5
நாதன்,2987,3
நோட்டுகள்,2987,5
போனான்,2986,3
வெளிப்படுத்தும்,2986,8
ஜெயலலிதாவுக்கு,2986,8
நித்யா,2986,3
ஆக்கைவில்,2986,5
பின்னும்,2985,4
என்றொரு,2985,4
கோயில்கள்,2983,5
கொண்டாடப்படுகிறது,2983,10
இறைவனை,2981,4
நடந்துள்ளது,2981,7
வாசிக்க,2980,4
நகரை,2979,3
பரவியது,2979,5
நாகை,2978,2
காட்சியை,2977,4
வெளிநாடு,2977,4
நாடி,2975,2
நடப்பது,2975,5
தீவுகள்,2975,4
நடு,2974,2
பிரதம,2974,4
சொன்னாலும்,2974,5
வெளியேறும்,2972,5
மேற்கொள்ளப்பட்ட,2972,9
மேற்கொள்ளப்படும்,2971,9
களையும்,2971,4
பதற்றம்,2970,5
பரப்பளவு,2969,6
தமக்கு,2969,4
ஆகியோர்,2969,5
எழுதிக்,2968,4
ஆவணங்களை,2968,6
பொடி,2967,2
குற்றவாளிகள்,2967,7
கிராமத்தைச்,2967,6
சுஷ்மா,2967,3
மூணு,2966,2
தாம்பரம்,2966,5
பாருங்க,2965,4
கேள்விகளை,2965,5
சிகரெட்,2965,4
குறைக்கும்,2964,5
தென்மேற்கு,2963,5
இறை,2962,2
மூலையில்,2962,4
ஆச்சரியம்,2961,6
உடற்பயிற்சி,2961,7
இடைத்தேர்தல்,2961,7
கட்டுமானப்,2960,6
தேசியப்,2957,4
கோளாறு,2956,3
பேசியது,2956,4
போட்டோ,2954,3
மீதமுள்ள,2954,5
ஊர்வலம்,2953,5
சத்து,2953,3
மல,2953,2
மீட்க,2953,3
கட்டிட,2951,4
பிக்பாஸ்,2951,4
போதாது,2950,3
வருடத்தில்,2950,6
போன்றே,2948,3
வெறுமனே,2948,4
கோடியை,2948,3
பாலை,2946,2
விரும்பினால்,2945,6
வேண்டியிருக்கிறது,2944,9
ஆகத்து,2942,4
சைக்கிளில்,2942,5
வீழ்த்தி,2942,4
கிளம்பி,2941,4
ஆசிரியராக,2940,6
கொண்டிருந்தன,2939,7
அடுத்தடுத்த,2939,7
பாத்திரத்தில்,2938,7
படைப்பு,2938,4
ரோஜா,2938,2
படங்களின்,2938,6
அடுக்கு,2937,4
அறியாமல்,2937,5
ஜெர்மன்,2937,4
வரையும்,2937,4
இந்நிறுவனம்,2937,7
உடைந்து,2936,4
பாதியில்,2936,4
நகரத்தின்,2935,6
பாய்,2934,2
காற்றின்,2934,4
கூறினார்கள்,2934,6
விளைவுகள்,2933,5
திரும்பவும்,2933,6
பிரிவினர்,2932,5
நடன,2931,3
மாற்றங்களை,2929,6
பயிலும்,2928,4
நிதியுதவி,2928,5
சென்ட்ரல்,2928,5
தோட்டத்தில்,2927,6
திரும்பும்,2927,5
அவர்தான்,2927,5
பாகிஸ்தானின்,2927,6
நடத்தை,2926,4
பரந்த,2925,4
மொழியின்,2925,4
வெளிப்படும்,2925,6
வீட்டுக்,2923,4
குடித்து,2922,4
காட்சிகளில்,2921,6
செப்,2921,2
மிகத்,2920,3
பொம்மை,2920,3
முதன்முதலாக,2919,7
கேலி,2919,2
இருக்கிறான்,2918,6
விழுக்காடு,2917,5
விஷயங்களில்,2917,7
பிரச்சனைகள்,2915,7
விடுதியில்,2914,5
காட்டிக்,2911,4
வார்த்தைகளை,2910,6
என்பவரை,2910,5
எதிலும்,2910,4
கூட்ட,2910,3
மந்திரம்,2908,5
வகுப்புகள்,2908,6
ஒன்,2908,2
தரவரிசையில்,2908,7
துடுப்பாட்ட,2907,6
கிளையில்,2906,4
மாசி,2905,2
ஸார்,2905,2
வெகுவாக,2905,4
டைம்,2905,2
பெட்டியில்,2904,5
விடுவிக்க,2904,5
மாடி,2901,2
தைரியம்,2900,4
ராகு,2900,2
நுழைந்த,2899,4
வளர்க்க,2898,5
தலைவரான,2897,5
பார்க்கிறேன்,2896,6
அடைத்து,2896,4
எடுத்துப்,2895,5
சத்தியம்,2895,5
கனவுகள்,2895,5
தாக்குதலுக்கு,2895,7
பழங்கள்,2894,5
ஒன்றியத்தில்,2893,7
வாழை,2893,2
என்பவரின்,2893,6
பாடும்,2893,3
காலனி,2893,3
கட்டுரையில்,2893,6
காவலில்,2893,4
இயேசுவின்,2891,5
சா,2890,1
சட்டங்கள்,2890,6
இணையாக,2890,4
இனியும்,2889,4
பேட்டிங்,2889,4
யோகம்,2888,3
பேசினர்,2888,4
அக்காலத்தில்,2887,7
விளக்கும்,2886,5
குழந்தைகளும்,2886,7
பாடலில்,2886,4
இதுதவிர,2886,5
சேர்க்கும்,2883,5
தனித்தனியாக,2883,7
உத்தர,2883,4
நிலநடுக்கம்,2882,7
திங்கள்,2881,4
இடம்பெற்றது,2881,7
ரூபாயாக,2881,4
சோதனையில்,2880,5
மனது,2878,3
சேகரித்து,2878,5
துக்கு,2877,3
நடிகைகள்,2877,5
அனுப்பும்,2876,5
பணப்,2874,3
விரோத,2874,3
அதிகாரிகளும்,2872,7
தருணத்தில்,2871,6
ஒருவராக,2870,5
யாராலும்,2870,4
தெரிவித்திருக்கிறார்,2870,10
இங்கிருந்து,2869,6
அனைவருமே,2869,5
செக்,2868,2
மெகா,2868,2
வைத்துள்ளது,2868,6
வைத்தியசாலையில்,2868,8
பாடல்களும்,2867,6
அரசியலை,2867,5
தேர்தல்களில்,2866,7
லா,2866,1
முற்றிலுமாக,2866,6
கிளிநொச்சி,2866,5
விக்கெட்டுகளை,2866,7
முடிய,2864,3
கொள்வார்கள்,2864,6
கன்னி,2864,3
எஃப்,2862,3
செய்வேன்,2861,4
அமைகிறது,2861,5
சிறிதளவு,2861,5
அனல்,2861,3
வழங்கப்பட,2861,7
மகளை,2860,3
எல்லோரையும்,2860,6
பண்பு,2859,3
வராத,2859,3
வணங்கி,2858,4
அவைகள்,2858,4
கண்டறிய,2858,5
மானியம்,2856,4
கொண்டிருக்க,2855,6
அறைக்குள்,2855,5
காணி,2855,2
விமானப்,2855,4
னர்,2854,2
விட்டதாக,2853,5
பதிவிறக்கம்,2853,7
சொன்னா,2852,3
இருக்கின்ற,2852,6
ஆதரவை,2852,4
இடைத்தேர்தலில்,2851,8
இதேவேளை,2851,4
நடத்தப்படுகிறது,2850,10
அளிக்கப்பட்டுள்ளது,2850,11
உள்ளதா,2849,4
உருவாகிறது,2848,6
செய்யப்படுகின்றன,2848,10
ரசிகர்களை,2846,6
முனிவர்,2844,4
அமைப்பது,2844,5
பிரச்சினையில்,2844,7
பேச்சை,2843,3
அடிக்கும்,2843,5
போன்றவர்கள்,2843,7
செய்தியில்,2843,5
மச,2843,2
உண்ணும்,2841,4
கட்சியும்,2841,5
அமைக்கப்பட்டு,2840,8
இப்போதைய,2840,5
பயங்கரவாத,2840,7
சோழன்,2838,3
அதைவிட,2838,4
காரணமாகவே,2838,6
ஸ்ர�,2837,2
தியாகம்,2837,4
ஊசி,2837,2
தொடர்ந்தும்,2837,6
சிவகார்த்திகேயன்,2837,9
பயண,2836,3
கோயில்களில்,2835,6
தங்கை,2834,3
அவற்றைப்,2834,5
பகுதிகளுக்கு,2834,7
வேடத்தில்,2833,5
ஊழியர்களுக்கு,2833,8
காத்திருக்கும்,2830,7
முதன்மையான,2829,6
நகர்ந்து,2829,5
காவலர்,2828,4
காயமடைந்தனர்,2827,8
அலைகள்,2826,4
சலுகைகள்,2826,5
உயிரோடு,2825,4
செய்தோம்,2825,4
மேலதிக,2825,4
கணபதி,2824,4
கொடுக்கிறது,2824,6
வணிகம்,2824,4
அதிகாரப்பூர்வ,2824,8
தருவதாக,2824,5
லட்சக்கணக்கான,2824,9
அழித்து,2823,4
அகமது,2822,4
மனத்தில்,2820,5
பின்னே,2820,3
கிராமங்கள்,2820,6
தொந்தரவு,2820,5
வெளிவந்தது,2819,6
இயக்கத்தை,2819,6
உணவுகள்,2819,5
தமிழை,2818,3
அடித்துக்,2816,5
உரிமைகளை,2816,5
புக்,2816,2
நெருக்கமான,2815,6
உற்சாகம்,2814,5
ஓம்,2812,2
பொருத்தமான,2811,6
உங்களால்,2811,5
முகம்மது,2810,5
கொள்கைகள்,2810,5
கேஜ்ரிவால்,2810,5
கடத்தி,2809,4
தாழ்வு,2808,3
மகனை,2807,3
நீக்கி,2807,3
அதற்குக்,2805,5
அறிவித்த,2804,5
டிரம்ப்,2804,4
பரிதாபமாக,2802,6
ஹிந்து,2801,3
விமானங்கள்,2801,6
பிளாக்,2801,3
பெய்த,2801,3
முன்னாடி,2801,4
தை,2800,1
உண்டா,2800,3
கோவிலுக்கு,2800,5
தொடர்ந்தார்,2800,6
சீனிவாசன்,2800,5
நாயகனாக,2799,5
பிரிவுகள்,2798,5
ஆம்புலன்ஸ்,2797,6
கூறுகின்றன,2796,6
கிட்ட,2795,3
கொண்டாடும்,2795,5
போட்டியிட்ட,2795,6
நேபாள,2794,3
எண்ணிக்கையை,2794,6
வெளியாகியுள்ளன,2794,8
செய்கிறேன்,2793,5
கடிதத்தை,2793,5
காதலுக்கு,2792,5
உலகை,2791,3
மற்றபடி,2791,5
தயாராகி,2791,4
வண்ண,2788,3
மார்கழி,2787,4
பசு,2787,2
போட்டித்,2786,4
வாடிக்கையாளர்,2785,7
சல்மான்,2785,4
பார்த்தபோது,2784,6
வெளியிடப்பட்டுள்ளது,2784,11
வழக்குகளை,2784,6
பரப்பளவில்,2783,7
இடை,2783,2
தென்னை,2783,3
பார்வையாளர்கள்,2781,8
பாதுகாப்பை,2781,5
ஆலோசனைக்,2780,5
உணர்வை,2779,4
தொடருந்து,2778,5
ஆமா,2778,2
ஆரோக்கியம்,2778,6
நாயகம்,2776,4
பிரணாப்,2776,4
கல்வெட்டு,2775,5
நேரத்துக்கு,2775,6
தற்கால,2774,4
அதிகமாகும்,2774,6
நூல்களில்,2774,5
பாரு,2773,2
நிலவரப்படி,2773,7
பனை,2772,2
போனில்,2772,3
அதிகாரிகளை,2770,6
சேமித்து,2769,4
புற்று,2769,3
சிரியா,2769,3
வைத்தால்,2768,4
யான,2768,2
வேதம்,2767,3
விண்ணப்பங்கள்,2767,8
புவியியல்,2766,5
போராடும்,2766,4
கார்த்திகை,2765,5
பழி,2765,2
அடிப்படையிலான,2765,8
யாழ்ப்பாணத்தில்,2765,8
தூய்மை,2764,3
தடம்,2762,3
நிறுவனங்களை,2762,7
வெடிகுண்டு,2762,5
ஓபிஎஸ்,2762,4
நிறங்கள்,2761,5
ஜிபி,2761,2
தாலி,2760,2
கோடியில்,2760,4
துறைமுகம்,2759,5
துவக்க,2759,4
பண்ணை,2758,3
பெண்மணி,2758,4
வேண்டுமென்றால்,2757,7
நடைபெறவுள்ள,2757,7
நகரங்கள்,2756,6
வெறி,2755,2
தவறாமல்,2755,5
கோடிக்கு,2755,4
வலைதளங்களில்,2755,8
ரிலீஸ்,2755,3
திரும்பினார்,2754,6
பதிவை,2754,3
இதனைக்,2753,4
குறைவாகவே,2753,5
விடு,2752,2
தேவையை,2752,3
கதாபாத்திரம்,2752,7
தாமதமாக,2752,5
காலத்திலும்,2751,6
அங்க,2751,3
கிட்டும்,2750,4
போய்விடும்,2749,5
பெங்களூருவில்,2749,7
மண்ணின்,2748,4
கொள்வோம்,2748,4
பர,2748,2
அறிகுறிகள்,2747,6
பேட்டரி,2747,4
சாவு,2746,2
அம்மாவும்,2746,5
விற்று,2746,3
இடம்பெற்றுள்ளது,2746,9
காத்து,2745,3
சிவாகம,2744,4
தேடிக்,2744,3
திருவள்ளுவர்,2743,7
எழும்பூர்,2743,5
பேருந்தில்,2743,5
சிங்கம்,2742,4
இருப்பதில்லை,2742,7
வழிகள்,2741,4
காலமும்,2740,4
போதெல்லாம்,2740,5
தவறி,2740,3
ஏவுகணை,2740,4
பதிலடி,2740,4
ஷங்கர்,2738,4
சொல்லப்படும்,2737,7
பிரச்சினைக்கு,2736,7
தாவர,2735,3
மன்னர்கள்,2735,6
கண்ணை,2735,3
கல்வித்துறை,2735,6
எதிர்கொள்ளும்,2734,7
சென்,2733,2
மீனவர்களை,2733,6
அவருக்குத்,2732,6
இருசக்கர,2732,6
நினைவாக,2731,4
அசாம்,2731,3
அமைப்பினர்,2731,6
வேகப்பந்து,2731,6
வாழ்க,2730,3
நாட்டுப்,2730,4
வந்துள்ள,2729,5
அமலுக்கு,2729,5
திருமாவளவன்,2728,7
சக்கரவர்த்தி,2726,8
வேண்டியிருக்கும்,2726,8
சிந்திக்க,2726,5
அனுப்பினார்,2725,6
ஒருசில,2725,4
வண்டியை,2724,4
மிகச்சிறந்த,2724,7
வரத்து,2724,4
பாதுகாப்புச்,2723,6
மாத்திரம்,2723,5
பயங்கர,2723,5
செலுத்தினர்,2723,6
திங்கட்கிழமை,2723,7
மதிப்பிலான,2722,6
படமும்,2721,4
சுவாமிகள்,2720,5
குழுமம்,2720,4
வெளியூர்,2719,4
சாப்பிடும்,2718,5
வசதியை,2718,4
அவளைப்,2717,4
குற்றங்கள்,2717,6
தொடர்ந்தது,2716,6
கற்றல்,2715,4
சம்பவத்தை,2713,6
பொதுமக்களுக்கு,2713,8
திகழ்கிறது,2712,6
செயலி,2712,3
முகர்ஜி,2711,4
மாத்திரை,2710,4
கடினமாக,2709,5
துவக்கி,2709,4
கோரிக்கைகள்,2709,6
பின்னரும்,2708,5
மார்க்கெட்,2708,5
குறியீடு,2708,4
புவி,2707,2
சேவைகளை,2707,4
தெரி,2707,2
உங்களுக்குத்,2705,7
புல்,2705,2
வாடகைக்கு,2705,5
சம்பள,2704,4
தொடர்பான,2704,6
முழுவதையும்,2703,6
வடிவத்தில்,2703,6
ஆரம்பிக்கும்,2702,7
கொஞ்சமாக,2701,5
தமிழர்களுக்கு,2701,8
தாங்கி,2700,3
ஸ்டேட்,2700,3
காவேரி,2699,3
வளாகம்,2699,4
அனைத்திலும்,2699,6
நியமிக்கப்பட்டுள்ளார்,2699,12
பா.ஜ.க,2699,3
உண்ணாவிரதம்,2698,7
ஆசிரியர்களுக்கு,2697,9
போலத்,2696,3
அழுது,2696,3
செய்தியாளர்,2695,6
